Al VIII		201.79		
Al XI		206.9		
Al III		207.3633	 	
Al III		207.3684		
Al III		208.9163		
Al III		209.2667		
Al VI		212.49		
Al VI		216.6		
Al III	220.966	220.9508	1d	
Al III	221.356	221.3428	2d 	
Al III	221.356	221.3460	2d 	
Al X		224.9		
Al III	229.947	229.9362	3d 	
Al III	229.947	229.9362	3d 	
Al III	229.947	229.9425	3d 	
Al VIII		236.33		
Al XI		241		
Al XI		241		
Al III		252.4401		
Al III		252.5244		
Al X		253.5		
Al II		266.0355		
Al VI		266.438		
Al II	266.9157	266.9155	2500g	
Al III	276.2815	276.2772	9d 	
Al III	276.2815	276.2772	9d 	
Al III	276.2815	276.2863	9d 	
Al II	281.6185	281.6185	4000	
Al III	296.106	296.0974	2 	
Al III	296.106	296.1060	2 	
Al X		303.6		
Al VII		307.07		
Al VII		307.07		
Al VII		307.60		
Al VII		307.60		
Al VII		309.60		
Al VII		310.14		
Al III	318.0111	318.0100	3d	
Al III	318.3824	318.3836	4d	
Al XII		325.76		
Al III	328.7302	328.7282	3d	
Al III	334.8517	334.8513	9	
Al III		334.8646		
Al III	335.0885	335.0894	8	
Al XII		342.71		
Al XII		347.4		
Al III		352.4869		
Al III		352.4950		
Al IX		353.5		
Al II	358.6557	358.6557	200	
Al III	360.1628	360.1630	14	
Al III	360.1926	360.1927	11	
Al III	361.2356	361.2355	13	
Al III	370.2106	370.2106	10	
Al III	371.3123	371.3123	11	
Al IX		388.8		
Al IX		389.6		
Al VI		390.42		
Al III		398.0097		
Al III	398.014	398.0097	5d 	
Al III	398.014	398.0200	5d 	
Al III	399.8164	399.8167	2	
Al III	400.1376	400.1371	1	
Al III	408.2450	408.2452	5	
Al III	408.8611	408.8611	6	
Al III	414.9915	414.9913	12	
Al III		414.9968		
Al III	415.0173	415.0173	12	
Al III	418.973	418.9699	bl 	
Al III	418.973	418.9755	 	
Al III	435.7562	435.757	4d	
Al III		436.459		
Al III	436.4642	436.466	5d	
Al III	451.2564	451.257	13	
Al III	452.8942	452.894	11	
Al III	452.9194	452.919	14	
Al XII		456.8		
Al II	466.3056	466.3046	1000	
Al III	470.1148	470.114	5	
